stkcd,year,current_assets,fixed_assets_net,total_assets,current_liabilities,total_liabilities,net_profit,depr_amort,equity_nature_id,never_st,m2,lev,npr,size,tang,lag_total_assets,growth,ndts,soe,liq,m2_growth,industry_name_d,industry_code_d,ind_code_raw,ind_code,lev_raw,npr_raw,tang_raw,growth_raw,ndts_raw,liq_raw
631,2019,7364600412.0,57103127.92,8350635736.0,1489533431.0,1803301320.0,645623130.0,-32047199.23,2,1.0,198648.88,0.2159477885289475,0.0773142489279812,22.845603508958877,0.0068381773226948,12630428765.0,-0.3099814369727316,0.0011489838576066,0.0,4.944233045548878,8.744771161720388,房地产业,K70,K,K,0.2159477885289475,0.0773142489279812,0.0068381773226948,-0.3388478022899486,-0.0038376957447494,4.944233045548878
631,2020,6676071956.0,31451543.87,7447804897.0,847761430.1,1102494866.0,252795918.6,20378548.28,2,1.0,218679.59,0.1480295041622382,0.0339423389973369,22.731185181223616,0.004222928004286,8350635736.0,-0.1081152223067103,0.0027361818095165,0.0,7.874941839725483,10.083474923191105,房地产业,K70,K,K,0.1480295041622382,0.0339423389973369,0.004222928004286,-0.1081152223067103,0.0027361818095165,7.874941839725483
631,2021,8076036092.0,299653546.1,9090496519.0,2565348456.0,2788086808.0,101587702.1,42026021.65,2,1.0,238289.96,0.3067034679758838,0.011175154392026,22.930495366196297,0.0329633860453821,7447804897.0,0.2205605067154325,0.0046230721899691,0.0,3.1481244090296014,8.96762701997018,房地产业,K70,K,K,0.3067034679758838,0.011175154392026,0.0329633860453821,0.2205605067154325,0.0046230721899691,3.1481244090296014
631,2022,8281054429.0,291639469.8,9190920396.0,2897006518.0,2984019589.0,170740691.1,41449952.18,2,1.0,266432.08,0.3246703768970387,0.0185771047668205,22.941481920203383,0.0317312583761388,9090496519.0,0.0110471278208076,0.0045098804465806,0.0,2.8584866404501477,11.81003177809088,房地产业,K70,K,K,0.3246703768970387,0.0185771047668205,0.0317312583761388,0.0110471278208076,0.0045098804465806,2.8584866404501477
631,2023,5955855063.0,267470676.2,6790103343.0,844476361.5,844634700.8,337318790.5,41690529.47,2,1.0,292271.33,0.1243920244116378,0.0496780053940925,22.638731998283376,0.0393912526347244,9190920396.0,-0.2314448057582532,0.0061398961641694,0.0,7.052719690603205,9.698250300789612,房地产业,K70,K,K,0.1243920244116378,0.0496780053940925,0.0393912526347244,-0.2612161730880473,0.0061398961641694,7.052719690603205
631,2024,5675528537.0,257054646.2,6875817276.0,1041651978.0,1057067171.0,91479504.44,44122321.12,2,1.0,313532.23,0.1537369491608927,0.0133045281408667,22.651276349942886,0.0373853224833719,6790103343.0,0.0126233620712656,0.0064170293288637,0.0,5.44858422666001,7.274370702045929,房地产业,K70,K,K,0.1537369491608927,0.0133045281408667,0.0373853224833719,0.0126233620712656,0.0064170293288637,5.44858422666001
631,2025,5420068829.0,938797427.9,7493889218.0,1235353629.0,1472858313.0,82348584.43,110358899.4,2,1.0,340294.81,0.1965412444932142,0.010988764583309,22.7373537544491,0.1252750608649309,6875817276.0,0.0898906874906895,0.0147265186593528,0.0,4.387463396523523,8.535830590686011,房地产业,K70,K,K,0.1965412444932142,0.010988764583309,0.1252750608649309,0.0898906874906895,0.0147265186593528,4.387463396523523
680,2011,10016070556.0,2308220758.0,13809171572.0,7650426629.0,8952649616.0,551990640.7,154801671.9,1,1.0,85159.09,0.6483118534172413,0.0399727556299783,23.34859881502303,0.1671512839104871,10698073239.0,0.2908092198937693,0.0112100621744668,1.0,1.309217255679925,17.322971438522305,专用设备制造业,C35,C35,C35,0.6483118534172413,0.0399727556299783,0.1671512839104871,0.2908092198937693,0.0112100621744668,1.309217255679925
680,2012,8905513835.0,2563527725.0,13305699159.0,6625829157.0,8394785917.0,23041827.26,211521593.4,1,1.0,97414.88,0.6309165581368005,0.0017317261561873,23.31145828858619,0.1926638874339816,13809171572.0,-0.0364592771097767,0.0158970671794368,1.0,1.3440602864913258,14.391640399163496,专用设备制造业,C35,C35,C35,0.6309165581368005,0.0017317261561873,0.1926638874339816,-0.0364592771097767,0.0158970671794368,1.3440602864913258
680,2013,8041245510.0,2332181802.0,12580070535.0,5808356621.0,7816122424.0,-389670991.7,270580101.9,1,1.0,110652.5,0.621309904603011,-0.0309752628664414,23.255379695118727,0.1853870211229304,13305699159.0,-0.0545351743887267,0.02150863154123,1.0,1.3844269618237686,13.58890962037831,专用设备制造业,C35,C35,C35,0.621309904603011,-0.0309752628664414,0.1853870211229304,-0.0545351743887267,0.02150863154123,1.3844269618237686
680,2014,6729523606.0,2400148546.0,11210769100.0,4413119010.0,6701490541.0,-27887430.42,278309075.3,1,1.0,122837.48,0.5977725953699288,-0.0024875572916759,23.1401406800624,0.2140931210509009,12580070535.0,-0.1088468805632177,0.0248251545293177,1.0,1.5248905798259902,11.011933756580271,专用设备制造业,C35,C35,C35,0.5977725953699288,-0.0024875572916759,0.2140931210509009,-0.1088468805632177,0.0248251545293177,1.5248905798259902
680,2015,5006274032.0,2368321306.0,9398845308.0,4658624219.0,5906699496.0,-968144817.1,273311572.8,1,1.0,139227.81,0.6284494852758566,-0.1030067827880884,22.9638526791025,0.2519800282258247,11210769100.0,-0.1616235046710577,0.0290792713193572,1.0,1.0746249958479426,13.343101795966517,专用设备制造业,C35,C35,C35,0.6284494852758566,-0.1030067827880884,0.2519800282258247,-0.1616235046710577,0.0290792713193572,1.0746249958479426
680,2016,5242587950.0,2069459686.0,9262041348.0,5063271484.0,5749557869.0,17648414.08,268987481.2,1,1.0,155006.67,0.6207657311140736,0.001905456196631,22.949190309257585,0.2234345117069542,9398845308.0,-0.0145554007451911,0.0290419218715843,1.0,1.0354151395133842,11.333123748768315,专用设备制造业,C35,C35,C35,0.6207657311140736,0.001905456196631,0.2234345117069542,-0.0145554007451911,0.0290419218715843,1.0354151395133842
